task_id,seed,m,estimate,workers,time
140,0x9747b318,1024,273845.9843748277,16,18.428330659866333
158,0x9747b32a,1024,288257.5476779965,16,18.06666135787964
157,0x9747b329,1024,286915.6640213908,16,18.106619358062744
159,0x9747b32b,1024,282246.4798741296,16,18.14384937286377
162,0x9747b32e,1024,279085.2778395337,16,14.365498781204224
163,0x9747b32f,1024,273801.1123091242,16,14.433826208114624
161,0x9747b32d,1024,293379.8732106135,16,18.044565200805664
167,0x9747b333,1024,302255.4662731098,16,14.245604753494263
168,0x9747b334,1024,276969.3070279723,16,14.092952251434326
166,0x9747b332,1024,285837.83529588586,16,18.084420442581177
165,0x9747b331,1024,306656.3547763714,16,18.193260192871094
170,0x9747b336,1024,281379.26133690705,16,14.140606880187988
169,0x9747b335,1024,290939.3610746253,16,18.370511770248413
175,0x9747b33b,1024,280030.6124250647,16,14.082748889923096
176,0x9747b33c,1024,278853.7439266355,16,14.37850022315979
171,0x9747b337,1024,299051.71212324646,16,18.02936029434204
173,0x9747b339,1024,284245.1650105829,16,18.251429080963135
174,0x9747b33a,1024,274885.0851673966,16,18.48868489265442
178,0x9747b33e,1024,284814.1430249467,16,14.386337280273438
179,0x9747b33f,1024,272862.2077157624,16,14.359802961349487
177,0x9747b33d,1024,283646.79275913135,16,18.051033973693848
182,0x9747b342,1024,266194.5861245649,16,14.452768564224243
180,0x9747b340,1024,275958.533085428,16,17.916459798812866
181,0x9747b341,1024,285664.47742421646,16,17.869919061660767
164,0x9747b330,1024,292840.25935478404,16,14.283519268035889
184,0x9747b344,1024,296030.93106088357,16,14.146076679229736
185,0x9747b345,1024,289513.51022235997,16,14.472976684570312
183,0x9747b343,1024,291169.8438752522,16,17.69219422340393
190,0x9747b34a,1024,275391.13201692153,16,14.154995203018188
189,0x9747b349,1024,267211.06709357916,16,14.378136157989502
187,0x9747b347,1024,298626.8549917728,16,17.998891592025757
186,0x9747b346,1024,285845.157646366,16,18.09329891204834
188,0x9747b348,1024,271719.95521048625,16,17.977039575576782
192,0x9747b34c,1024,285632.5497522967,16,14.11913514137268
191,0x9747b34b,1024,284871.3914862149,16,18.177461624145508
172,0x9747b338,1024,285186.1052297004,16,18.300780773162842
193,0x9747b34d,1024,279376.29555545724,16,14.240919351577759
197,0x9747b351,1024,291010.53600377747,16,14.064017057418823
198,0x9747b352,1024,284641.6152037494,16,14.187620639801025
195,0x9747b34f,1024,284302.89911405096,16,18.056084632873535
194,0x9747b34e,1024,279424.97250333213,16,18.16020894050598
196,0x9747b350,1024,273850.05470175005,16,18.32888913154602
199,0x9747b353,1024,280146.4683225703,16,14.24710464477539
200,0x9747b354,1024,283588.23353580706,16,14.47941517829895
202,0x9747b356,1024,279755.5172855257,16,18.052980184555054
204,0x9747b358,1024,295102.5800206451,16,14.478798866271973
201,0x9747b355,1024,286849.1781348237,16,18.20446753501892
203,0x9747b357,1024,266456.7293295038,16,17.895743370056152
206,0x9747b35a,1024,288867.7845584558,16,14.393714666366577
205,0x9747b359,1024,267307.2211508369,16,18.207512140274048
209,0x9747b35d,1024,276068.1573309856,16,14.162423372268677
208,0x9747b35c,1024,290220.8037993726,16,14.439470052719116
207,0x9747b35b,1024,283424.5382224803,16,18.09619975090027
214,0x9747b362,1024,280179.3611341233,16,14.264672994613647
213,0x9747b361,1024,286245.9832954989,16,14.310889959335327
210,0x9747b35e,1024,281296.3256852897,16,17.962719202041626
212,0x9747b360,1024,283010.6408006813,16,18.051421403884888
215,0x9747b363,1024,284965.9684039332,16,14.265469312667847
218,0x9747b366,1024,287109.47988500074,16,14.34149169921875
216,0x9747b364,1024,286907.1437955855,16,18.21418023109436
221,0x9747b369,1024,289435.2934082344,16,14.20078158378601
222,0x9747b36a,1024,295960.2646590207,16,14.407473087310791
219,0x9747b367,1024,287547.98555606056,16,18.212518453598022
220,0x9747b368,1024,296967.9243501756,16,17.81117081642151
224,0x9747b36c,1024,291393.5111113546,16,14.303924083709717
225,0x9747b36d,1024,283847.47856768523,16,14.511199951171875
223,0x9747b36b,1024,268246.6027630115,16,18.237167358398438
228,0x9747b370,1024,294266.0276847155,16,14.16691279411316
226,0x9747b36e,1024,276045.50413255126,16,17.973386526107788
229,0x9747b371,1024,276049.01489438245,16,14.353853225708008
227,0x9747b36f,1024,293856.27838392387,16,18.12117600440979
232,0x9747b374,1024,284260.02981060446,16,14.256712675094604
211,0x9747b35f,1024,285273.5849560653,16,17.798949241638184
230,0x9747b372,1024,276923.2241491541,16,18.3086678981781
235,0x9747b377,1024,283586.05104154785,16,14.362451314926147
233,0x9747b375,1024,298848.06620130484,16,18.104920148849487
234,0x9747b376,1024,296863.8796086758,16,18.38679051399231
217,0x9747b365,1024,281332.09903490037,16,17.965471506118774
239,0x9747b37b,1024,273605.009664623,16,14.333066463470459
237,0x9747b379,1024,288708.61783695774,16,18.033061265945435
240,0x9747b37c,1024,278984.73882388254,16,14.171068906784058
242,0x9747b37e,1024,283870.56585361506,16,14.507124662399292
241,0x9747b37d,1024,279778.83291449735,16,18.51497745513916
244,0x9747b380,1024,298250.7956950503,16,14.489830493927002
243,0x9747b37f,1024,281017.5556412872,16,18.197935104370117
245,0x9747b381,1024,282015.7969357032,16,17.987212896347046
231,0x9747b373,1024,295474.80772107345,16,14.294885158538818
246,0x9747b382,1024,282598.25289556466,16,18.33244776725769
250,0x9747b386,1024,277396.39898703055,16,14.290655851364136
248,0x9747b384,1024,285869.8088798848,16,18.468661546707153
252,0x9747b388,1024,274502.7740712324,16,14.319804668426514
236,0x9747b378,1024,291818.33591419464,16,14.063503503799438
251,0x9747b387,1024,281435.7370076463,16,18.219787120819092
253,0x9747b389,1024,294088.4806851669,16,14.348881006240845
254,0x9747b38a,1024,291088.59058125963,16,17.974299430847168
255,0x9747b38b,1024,293408.0144790316,16,17.799726486206055
238,0x9747b37a,1024,292762.2363404674,16,17.923574924468994
259,0x9747b38f,1024,280462.09183919505,16,14.343111753463745
257,0x9747b38d,1024,289666.68156898377,16,14.296195030212402
256,0x9747b38c,1024,291695.09731685295,16,18.33447289466858
258,0x9747b38e,1024,280884.4460890065,16,18.298206090927124
263,0x9747b393,1024,282681.1890530057,16,14.339707374572754
260,0x9747b390,1024,275043.31137262564,16,18.243253231048584
264,0x9747b394,1024,292226.5069026324,16,14.236858367919922
262,0x9747b392,1024,275327.1523421222,16,18.132511138916016
247,0x9747b383,1024,279808.7735097871,16,14.286274909973145
249,0x9747b385,1024,270552.9665984363,16,18.444672346115112
265,0x9747b395,1024,285357.1868816981,16,18.209285259246826
268,0x9747b398,1024,274490.79048819793,16,14.161603450775146
270,0x9747b39a,1024,270762.610399195,16,14.36771297454834
267,0x9747b397,1024,277830.75338163687,16,17.93244171142578
266,0x9747b396,1024,293104.5043054232,16,18.357430934906006
269,0x9747b399,1024,313596.6480371446,16,18.267762660980225
273,0x9747b39d,1024,283674.18961854203,16,14.32927942276001
271,0x9747b39b,1024,294797.3108537433,16,18.039891719818115
274,0x9747b39e,1024,288544.16157714324,16,14.359625339508057
276,0x9747b3a0,1024,269460.6943035056,16,14.45992112159729
272,0x9747b39c,1024,285153.0527627497,16,18.334177017211914
275,0x9747b39f,1024,289087.03106139606,16,18.10146737098694
280,0x9747b3a4,1024,282536.67467528547,16,14.316006898880005
278,0x9747b3a2,1024,273192.7069398698,16,14.568623542785645
261,0x9747b391,1024,288232.5878062987,16,14.380836486816406
277,0x9747b3a1,1024,268343.9126726151,16,17.865196228027344
279,0x9747b3a3,1024,287071.1950665335,16,18.059208631515503
282,0x9747b3a6,1024,275186.71193724044,16,18.211225748062134
281,0x9747b3a5,1024,284884.19616898394,16,18.193580627441406
285,0x9747b3a9,1024,284067.8252971202,16,14.220125198364258
283,0x9747b3a7,1024,278177.6913133199,16,18.39682698249817
288,0x9747b3ac,1024,281758.9084230661,16,14.231415033340454
286,0x9747b3aa,1024,300513.6510235302,16,14.369344711303711
284,0x9747b3a8,1024,284741.8216628906,16,18.169202089309692
287,0x9747b3ab,1024,287740.540662085,16,18.17330312728882
291,0x9747b3af,1024,288240.0858008338,16,14.082326650619507
292,0x9747b3b0,1024,281254.9947611265,16,14.043818473815918
289,0x9747b3ad,1024,284676.7996349466,16,18.334153175354004
295,0x9747b3b3,1024,283352.26202706783,16,14.214298486709595
293,0x9747b3b1,1024,300022.9534840613,16,18.284759283065796
294,0x9747b3b2,1024,281467.8332852508,16,18.301843881607056
300,0x9747b3b8,1024,283361.25652933493,16,14.287901878356934
297,0x9747b3b5,1024,282357.38405123894,16,17.726911783218384
296,0x9747b3b4,1024,288462.5551015126,16,18.292640447616577
299,0x9747b3b7,1024,295216.72398110566,16,18.526079654693604
303,0x9747b3bb,1024,292915.61645346385,16,14.22035527229309
301,0x9747b3b9,1024,287759.95407348877,16,17.98674440383911
304,0x9747b3bc,1024,278974.5219045992,16,14.264654636383057
302,0x9747b3ba,1024,278384.97904318053,16,18.542601823806763
306,0x9747b3be,1024,281825.8874954521,16,14.188481330871582
305,0x9747b3bd,1024,286158.7202323703,16,18.395895957946777
307,0x9747b3bf,1024,279190.61190084013,16,14.370818853378296
290,0x9747b3ae,1024,275139.0225417209,16,14.08557391166687
308,0x9747b3c0,1024,275497.2401285278,16,17.739495754241943
310,0x9747b3c2,1024,284452.137135873,16,18.032618284225464
